Price,Close,High,Low,Open,Volume
Ticker,NVDA,NVDA,NVDA,NVDA,NVDA
Date,,,,,
2019-01-02,3.3730528354644775,3.429014470259344,3.22027259921947,3.2348820671794463,508752000
2019-01-03,3.169262409210205,3.34680449917898,3.161833936081145,3.3128808158221736,705552000
2019-01-04,3.3723089694976807,3.410441967558925,3.2116048783493887,3.242309404030075,585620000
2019-01-07,3.5508415699005127,3.5877366873539573,3.378251727789185,3.429508826663818,709160000
2019-01-08,3.462442636489868,3.6345373165933417,3.3898905036888123,3.632308561774112,786016000
2019-01-09,3.5305373668670654,3.577832398815382,3.463185196648294,3.513699147202186,617260000
2019-01-10,3.596156358718872,3.6048229514252688,3.450804610950893,3.511223514049248,523156000
2019-01-11,3.685298204421997,3.7080790587125985,3.5461368423942865,3.5738699331062063,874764000
2019-01-14,3.7251644134521484,3.750421503288713,3.6095268272091663,3.6330505989268924,730168000
2019-01-15,3.7110507488250732,3.797221699312551,3.6927269296751715,3.7578503426020893,617012000
2019-01-16,3.6855459213256836,3.771221671354495,3.6800984845296334,3.7382886240345203,470104000
2019-01-17,3.7568600177764893,3.7967265753472876,3.6253748349137225,3.6526129641538416,493436000
2019-01-18,3.885868787765503,3.911868797573999,3.755126529017135,3.8066311124384677,651336000
2019-01-22,3.6838130950927734,3.8672980837653896,3.653603762135762,3.85566005430992,661552000
2019-01-23,3.6966896057128906,3.827679615622705,3.665489869443748,3.7390324085528177,591020000
2019-01-24,3.908402442932129,3.925983108591916,3.7764220564709214,3.7811268114937553,708972000
2019-01-25,3.965602159500122,3.9836782623502893,3.746460406726317,3.848974150204566,1154572000
2019-01-28,3.4173758029937744,3.507261112893083,3.2437957746546737,3.3812235989990995,2511528000
2019-01-29,3.2586519718170166,3.419603770514279,3.244042509940914,3.3713181128316685,1153932000
2019-01-30,3.4020235538482666,3.4163853005399343,3.2551859876519855,3.334671384895989,974228000
2019-01-31,3.5595083236694336,3.59516532462294,3.37701376428753,3.3988042193554775,842852000
2019-02-01,3.5837745666503906,3.6347839467533984,3.530536904544244,3.5780794122343567,625048000
2019-02-04,3.693964719772339,3.7311073186872235,3.5775842144138106,3.5996221501393917,528592000
2019-02-05,3.713031530380249,3.749678932348677,3.672174573691517,3.7058505391601373,542424000
2019-02-06,3.788555145263672,3.852935876807486,3.740764914745462,3.746212351620541,702464000
2019-02-07,3.6503844261169434,3.744479293492757,3.6075466655780306,3.7422507749665708,637120000
