Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2019-01-02,94.19314575195312,94.77998734118098,92.16247841703095,92.73069316029616,35329300
2019-01-03,90.72796630859375,93.32684829113309,90.54166232197043,93.24300972046,42579100
2019-01-04,94.94766235351562,95.48793330274081,92.15316626592872,92.88905108847246,44060600
2019-01-07,95.06876373291016,96.19587641006584,94.0627504461511,94.67753594879431,35656100
2019-01-08,95.758056640625,96.84790827102704,94.7427194953017,95.98161430940154,31514400
2019-01-09,97.12737274169922,97.69558755479733,96.1679301543678,96.74546194497762,32280800
2019-01-10,96.50325775146484,96.64298396891861,95.36682827277113,96.14929082644984,30067600
2019-01-11,95.758056640625,96.35421516187587,94.67751487912646,96.12134051742568,28314200
2019-01-14,95.05943298339844,95.82326153514298,94.32354825198587,94.91970677496842,28437100
2019-01-15,97.81666564941406,97.85392644457843,94.90107061203932,95.48791925241571,31587600
2019-01-16,98.16130065917969,98.98102381475704,97.77007302952809,98.0495253974329,29853900
2019-01-17,98.8506088256836,99.32566787387147,97.58377048364554,97.80732810083798,28393000
2019-01-18,100.33170318603516,100.50869017626661,98.65501014000569,100.09882855963359,37427600
2019-01-22,98.4407958984375,99.76352252146586,97.67696714785205,99.43749935477183,32371300
2019-01-23,99.40022277832031,99.707619046763,98.12406703485185,98.85064197119935,25874300
2019-01-24,98.9251480102539,99.67034972944384,98.12405864949432,99.53994049460114,23164800
2019-01-25,99.82868957519531,100.49005263774534,98.92513491994113,99.89389418398842,31225600
2019-01-28,97.8818588256836,99.18595807695827,97.49063118233194,98.98102728088764,29476700
2019-01-29,95.8884506225586,97.77939129766942,95.17119285193579,97.69555274348083,31490500
2019-01-30,99.09281158447266,99.09281158447266,97.18324385198478,97.45337927991883,49471900
2019-01-31,97.2763900756836,98.01227475436224,96.11201693349011,96.68954857045516,55636400
2019-02-01,95.73942565917969,96.96900353574821,95.3388809740294,96.67092426587615,35535700
2019-02-04,98.49664306640625,98.55253780541531,95.73009156222261,95.82324709164801,31315100
2019-02-05,99.87527465820312,99.92184532117027,98.70158450717521,98.79473293987935,27325400
2019-02-06,98.76678466796875,99.6703393486801,98.30103541867585,99.6703393486801,20609800
2019-02-07,98.05884552001953,98.35692476046651,97.14598095536239,97.98433103998504,29760700
2019-02-08,98.43144989013672,98.53391529898809,97.11804063259544,97.23913288543345,21461100
2019-02-11,98.04022979736328,99.27912466812353,97.77941132073386,98.92515064403747,18914100
2019-02-12,99.56787872314453,99.80075335896568,98.25446947263366,98.86925481568112,25056600
2019-02-13,99.49336242675781,100.39691719889298,99.40021398882816,100.13609872998185,18394900
2019-02-14,99.57720184326172,99.94048572901892,98.42214556820731,99.02761397328908,21784700
2019-02-15,100.8067855834961,100.88130718152279,100.00569617163606,100.51802327460611,26606900
2019-02-19,100.76020812988281,101.21664758917618,100.39692422180575,100.40624119828153,18038500
2019-02-20,100.2363510131836,100.97537861880066,99.43184031021426,100.90053875407739,21607700
2019-02-21,102.35051727294922,102.41600036164678,99.97440541044664,100.00246857172826,29063200
2019-02-22,103.80986022949219,104.02501589378497,102.73406049666386,102.94922329807812,27763200
2019-02-25,104.38983154296875,104.94176645448258,104.08112968570592,104.54886799096977,23750600
2019-02-26,105.11017608642578,105.93339311882059,103.99695638653229,104.08115301165182,21536700
2019-02-27,104.93241882324219,105.11016167859154,103.72565303417082,104.4833940078933,21487100
2019-02-28,104.80146789550781,105.59662177185771,104.52082912938997,104.8108246621816,29083900
2019-03-01,105.26918029785156,105.72756183189817,104.46466985361954,105.60595244367519,23501200
2019-03-04,105.01660919189453,105.94272906345955,103.65081415931894,105.72756629677257,26608000
2019-03-05,104.49274444580078,105.13822565212749,104.05307639235822,105.00725948520915,19538300
2019-03-06,104.53953552246094,105.39082286170616,104.24018322300454,104.65179531117776,17687000
2019-03-07,103.26726531982422,104.35242164385124,102.78082060923578,104.21209872096908,25339000
2019-03-08,103.37953186035156,103.56662434504166,101.7798675637525,102.11663974589133,22818400
2019-03-11,105.54984283447266,105.66209547609726,103.81921228392213,103.82856191264341,26491600
2019-03-12,106.28887939453125,106.63500125192128,105.38146573260926,105.54049507990315,26132700
2019-03-13,107.1120834350586,107.57982179067021,106.43853906103854,106.76595448254248,35513800
2019-03-14,107.19628143310547,107.76692284327532,106.95306260758369,107.14951187609965,30763400
2019-03-15,108.43111419677734,109.6846496238026,107.19627802741456,107.89788559430455,54681100
2019-03-18,109.9839859008789,110.02140582212414,108.56206457916133,108.6743172057768,31207600
2019-03-19,110.0588150024414,110.79784231639056,109.44139706783092,110.4704198217289,37588700
2019-03-20,109.93721771240234,111.08785718398858,109.17948387569967,109.81560831179597,28113300
2019-03-21,112.4630126953125,113.02429730126065,109.53496598679597,109.58174267775873,29854400
2019-03-22,109.49755096435547,111.87365550981598,109.48819419892963,111.78946603234603,33624500
2019-03-25,110.06819915771484,110.39561459673766,108.81465658630007,109.0391690106127,27067100
2019-03-26,110.30207824707031,111.0504554409824,109.31046793788197,110.96626595073009,26097700
2019-03-27,109.23561096191406,110.58269969185966,108.06626508859208,110.27399066839367,22733400
2019-03-28,109.38528442382812,109.99334567071618,108.6369002527166,109.86237951133973,18334800
2019-03-29,110.33013153076172,110.68561013075379,109.41336116419514,110.45174094038818,25399800
2019-04-01,111.34044647216797,111.424643096134,110.47980952230199,111.27496338113733,22789100
2019-04-02,111.49946594238281,111.77075503158302,110.87269115286203,111.37784940822239,18142300
2019-04-03,112.2291488647461,112.65946732105715,111.46205820138789,112.12624584941939,22860700
2019-04-04,111.65849304199219,112.47236029340806,110.74172278854256,112.35074376166614,20112800
2019-04-05,112.1543197631836,112.47238560572077,111.66787493810098,111.68658133489869,15826200
2019-04-08,112.19171142578125,112.27590089584136,110.98494572841143,112.0794516619142,15116200
2019-04-09,111.58367919921875,111.82690518225999,110.92884824924857,110.97561781017669,17612000
2019-04-10,112.4349594116211,112.58463198903105,111.82689806129942,112.03270410021952,16477200
2019-04-11,112.56590270996094,113.05234740905686,112.18235387228594,112.76235194250661,14209100
2019-04-12,113.1458969116211,113.17396720604151,112.60332588387266,112.85590143669346,19745100
2019-04-15,113.23944854736328,113.7352500177085,112.7904166260935,113.13654554742897,15792600
2019-04-16,112.9775390625,113.80076328032436,112.35077126910892,113.79140651317941,14071800
2019-04-17,113.9129867553711,113.98782659911397,112.76235449058571,113.4171852805351,19300900
2019-04-18,115.4097671508789,115.55008295117011,113.47333059852848,114.30590432015464,27991000
2019-04-22,115.77459716796875,115.99910957520437,114.6613776228442,114.70815431219863,15648700
2019-04-23,117.34619903564453,117.47716520212103,115.84008098404394,116.09265655164269,24025500
2019-04-24,116.94396209716797,117.7297592191694,116.48557330554524,117.67363289248983,31257000
2019-04-25,120.81682586669922,122.89358555373819,120.51748070622843,121.66811320064403,38033900
2019-04-26,121.50907897949219,122.09843392154195,120.69521874465617,121.33133610654112,23654900
2019-04-29,121.3968276977539,121.7803623353228,121.00392915671837,121.51842997463245,16324200
2019-04-30,122.17327117919922,122.26681029112339,121.0413380132484,121.43423654151226,24166500
